MONTH,TYPE,CIRCLE,DIVISION,SUB_DIVISION,SAMPLE,POWEROFF_PREV,KWH_PREV,ESO_PREV,POWEROFF_CURR,KWH_CURR,ESO_CURR,PER_CHANGE
202402,1PH ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),MITRON,"6,317",14.93,"7,92,010","17,738",17.00,"9,31,109","23,244",13.86%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),MUNDELLA,"2,141",22.57,"2,64,638","9,112",21.52,"3,41,700","10,633",-4.65%
202402,1PH ,DWK,2661,MADHU VIHAR,"32,128",4.25,"39,87,015","25,066",4.36,"46,15,317","28,691",2.59%
202402,1PH ,DWK,2661,MATIYALA,"22,265",4.01,"29,42,034","16,861",4.03,"33,69,136","19,286",.5%
202402,1PH ,DWK,2661,"SEC 13, DWARKA","28,458",6.39,"41,38,925","35,246",7.60,"49,78,987","49,138",18.94%
202402,1PH ,DWK,2661,"SEC 4, DWARKA","10,348",1.21,"19,57,831","3,335",1.78,"24,22,648","6,189",47.11%
202402,1PH ,JKP,2610,4/1 SUBHASH NAGAR,"25,255",1.69,"43,09,093","10,727",2.20,"48,12,312","15,542",30.18%
202402,1PH ,JKP,2610,B-32 MAYAPURI PH-1,"26,466",1.59,"36,42,833","7,692",2.34,"41,46,993","13,473",47.17%
202402,1PH ,JKP,2610,B1 COMPLAINT CENTER JANAKPURI,"19,244",2.35,"31,18,023","10,860",1.70,"35,49,745","8,606",-27.66%
202402,1PH ,JKP,2610,C-3 COMPLAINT CENTER JKP,"8,660",1.48,"14,38,696","3,171",2.52,"16,92,917","6,378",70.27%
